"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 05 04:57:43 GMT 2022","Tue Jul 05 04:57:47 GMT 2022","3714","Suite","Tests in chrome","tests.Logintest","tests.Logintest","secondTest","Login and verify red ","Searches for red "
"passed","Tue Jul 05 04:57:43 GMT 2022","Tue Jul 05 04:57:46 GMT 2022","2800","Suite","Tests in chrome","tests.Logintest","tests.Logintest","firstTest","Login and verify blue jeans","Searches for blue jeans"
